match_id,date,home_team,away_team,home_goals,away_goals,status,round
1210667,2024-09-01T19:00:00-06:00,Perez Zeledon,AD Guanacasteca,1,1,FT,Apertura - 8
1210656,2024-09-07T19:00:00-06:00,LD Alajuelense,AD Guanacasteca,4,0,FT,Apertura - 6
1210674,2024-09-10T16:00:00-06:00,Municipal Liberia,CS Cartagines,3,0,FT,Apertura - 9
1210672,2024-09-10T20:00:00-06:00,CS Herediano,San Carlos,1,2,FT,Apertura - 9
1210675,2024-09-10T20:30:00-06:00,Sporting San Jose,Santos DE Guapiles,1,1,FT,Apertura - 9
1210671,2024-09-11T16:00:00-06:00,AD Guanacasteca,Santa Ana,1,0,FT,Apertura - 9
1210676,2024-09-11T20:00:00-06:00,Deportivo Saprissa,Perez Zeledon,2,2,FT,Apertura - 9
1210673,2024-09-12T15:00:00-06:00,Puntarenas FC,LD Alajuelense,1,1,FT,Apertura - 9
1210678,2024-09-14T16:00:00-06:00,Santos DE Guapiles,Deportivo Saprissa,1,2,FT,Apertura - 10
1210679,2024-09-14T16:00:00-06:00,Municipal Liberia,AD Guanacasteca,0,1,FT,Apertura - 10
1210677,2024-09-15T11:00:00-06:00,CS Cartagines,Sporting San Jose,1,0,FT,Apertura - 10
1210682,2024-09-15T16:00:00-06:00,Santa Ana,Perez Zeledon,0,0,FT,Apertura - 10
1210681,2024-09-15T18:00:00-06:00,San Carlos,Puntarenas FC,2,1,FT,Apertura - 10
1210683,2024-09-17T20:00:00-06:00,CS Herediano,Municipal Liberia,5,4,FT,Apertura - 11
1210688,2024-09-18T16:00:00-06:00,Santa Ana,Santos DE Guapiles,1,1,FT,Apertura - 11
1210687,2024-09-18T18:30:00-06:00,Puntarenas FC,AD Guanacasteca,0,0,FT,Apertura - 11
1210684,2024-09-18T20:00:00-06:00,Deportivo Saprissa,San Carlos,3,2,FT,Apertura - 11
1210686,2024-09-19T20:00:00-06:00,Perez Zeledon,CS Cartagines,0,0,FT,Apertura - 11
1210685,2024-09-19T20:00:00-06:00,Sporting San Jose,LD Alajuelense,0,1,FT,Apertura - 11
1210690,2024-09-21T20:00:00-06:00,CS Herediano,Santa Ana,2,1,FT,Apertura - 12
1210694,2024-09-22T15:00:00-06:00,Puntarenas FC,Perez Zeledon,1,1,FT,Apertura - 12
1210692,2024-09-22T16:00:00-06:00,LD Alajuelense,CS Cartagines,2,1,FT,Apertura - 12
1210689,2024-09-22T19:00:00-06:00,AD Guanacasteca,Sporting San Jose,2,1,FT,Apertura - 12
1210693,2024-09-23T19:00:00-06:00,San Carlos,Santos DE Guapiles,2,2,FT,Apertura - 12
1210695,2024-09-27T20:00:00-06:00,Santa Ana,San Carlos,3,4,FT,Apertura - 13
1210699,2024-09-28T15:00:00-06:00,Santos DE Guapiles,Municipal Liberia,0,1,FT,Apertura - 13
1210697,2024-09-28T17:00:00-06:00,CS Cartagines,AD Guanacasteca,1,1,FT,Apertura - 13
1210698,2024-09-28T20:00:00-06:00,Deportivo Saprissa,CS Herediano,1,0,FT,Apertura - 13
1210696,2024-09-29T17:00:00-06:00,Perez Zeledon,LD Alajuelense,2,2,FT,Apertura - 13
1210700,2024-09-30T19:00:00-06:00,Sporting San Jose,Puntarenas FC,1,0,FT,Apertura - 13
1210702,2024-10-04T20:00:00-06:00,Municipal Liberia,Santa Ana,2,3,FT,Apertura - 14
1210701,2024-10-05T16:00:00-06:00,AD Guanacasteca,Perez Zeledon,1,0,FT,Apertura - 14
1210703,2024-10-05T19:00:00-06:00,San Carlos,Sporting San Jose,2,0,FT,Apertura - 14
1210705,2024-10-05T20:00:00-06:00,CS Herediano,CS Cartagines,0,2,FT,Apertura - 14
1210704,2024-10-06T15:00:00-06:00,Santos DE Guapiles,LD Alajuelense,1,3,FT,Apertura - 14
1210706,2024-10-06T16:00:00-06:00,Deportivo Saprissa,Puntarenas FC,2,3,FT,Apertura - 14
1210659,2024-10-12T19:00:00-06:00,AD Guanacasteca,Santos DE Guapiles,2,1,FT,Apertura - 7
1210710,2024-10-16T16:00:00-06:00,Perez Zeledon,Santos DE Guapiles,3,1,FT,Apertura - 15
1210707,2024-10-16T20:00:00-06:00,LD Alajuelense,Municipal Liberia,2,2,FT,Apertura - 15
1210712,2024-10-16T20:00:00-06:00,Puntarenas FC,CS Herediano,0,2,FT,Apertura - 15
1210708,2024-10-17T16:00:00-06:00,CS Cartagines,San Carlos,4,4,FT,Apertura - 15
1210711,2024-10-17T18:00:00-06:00,Sporting San Jose,Santa Ana,1,0,FT,Apertura - 15
1210709,2024-10-17T20:00:00-06:00,AD Guanacasteca,Deportivo Saprissa,2,0,FT,Apertura - 15
1210714,2024-10-19T17:00:00-06:00,Municipal Liberia,Puntarenas FC,4,2,FT,Apertura - 16
1210713,2024-10-19T20:00:00-06:00,CS Herediano,LD Alajuelense,1,1,FT,Apertura - 16
1210717,2024-10-20T15:00:00-06:00,Santos DE Guapiles,AD Guanacasteca,4,0,FT,Apertura - 16
1210715,2024-10-20T16:00:00-06:00,Deportivo Saprissa,Sporting San Jose,1,0,FT,Apertura - 16
1210718,2024-10-20T18:30:00-06:00,San Carlos,Perez Zeledon,1,1,FT,Apertura - 16
1210716,2024-10-21T20:00:00-06:00,Santa Ana,CS Cartagines,2,1,FT,Apertura - 16
1210722,2024-10-25T19:00:00-06:00,Puntarenas FC,Santos DE Guapiles,1,0,FT,Apertura - 17
1210723,2024-10-25T20:00:00-06:00,Perez Zeledon,Santa Ana,2,1,FT,Apertura - 17
1210720,2024-10-26T18:00:00-06:00,CS Cartagines,Deportivo Saprissa,2,1,FT,Apertura - 17
1210719,2024-10-26T20:00:00-06:00,LD Alajuelense,San Carlos,3,1,FT,Apertura - 17
1210721,2024-10-27T15:00:00-06:00,AD Guanacasteca,Municipal Liberia,2,0,FT,Apertura - 17
1210724,2024-10-27T16:00:00-06:00,Sporting San Jose,CS Herediano,1,3,FT,Apertura - 17
1210729,2024-11-01T19:00:00-06:00,San Carlos,AD Guanacasteca,2,2,FT,Apertura - 18
1210726,2024-11-01T20:00:00-06:00,Municipal Liberia,Sporting San Jose,1,1,FT,Apertura - 18
1210728,2024-11-02T16:00:00-06:00,Santos DE Guapiles,CS Cartagines,1,0,FT,Apertura - 18
1210727,2024-11-02T20:00:00-06:00,Deportivo Saprissa,LD Alajuelense,3,0,FT,Apertura - 18
1210730,2024-11-03T11:00:00-06:00,Santa Ana,Puntarenas FC,1,1,FT,Apertura - 18
1210725,2024-11-03T16:00:00-06:00,CS Herediano,Perez Zeledon,4,1,FT,Apertura - 18
1210732,2024-11-05T20:00:00-06:00,CS Cartagines,Municipal Liberia,2,1,FT,Apertura - 19
1210736,2024-11-06T19:00:00-06:00,San Carlos,CS Herediano,0,0,FT,Apertura - 19
1210731,2024-11-06T20:00:00-06:00,LD Alajuelense,Sporting San Jose,1,0,FT,Apertura - 19
1210734,2024-11-07T15:00:00-06:00,Santos DE Guapiles,Santa Ana,1,0,FT,Apertura - 19
1210735,2024-11-07T20:00:00-06:00,Perez Zeledon,Deportivo Saprissa,1,2,FT,Apertura - 19
1210739,2024-11-09T18:00:00-06:00,Puntarenas FC,CS Cartagines,3,2,FT,Apertura - 20
1210740,2024-11-09T20:00:00-06:00,CS Herediano,AD Guanacasteca,2,1,FT,Apertura - 20
1210738,2024-11-10T11:00:00-06:00,Santa Ana,LD Alajuelense,0,2,FT,Apertura - 20
1210741,2024-11-10T16:00:00-06:00,Deportivo Saprissa,Santos DE Guapiles,3,3,FT,Apertura - 20
1210742,2024-11-10T18:00:00-06:00,Sporting San Jose,Perez Zeledon,0,1,FT,Apertura - 20
1210737,2024-11-19T16:00:00-06:00,Municipal Liberia,San Carlos,1,2,FT,Apertura - 20
1210680,2024-11-19T20:00:00-06:00,LD Alajuelense,CS Herediano,2,0,FT,Apertura - 10
1210733,2024-11-20T19:00:00-06:00,AD Guanacasteca,Puntarenas FC,2,1,FT,Apertura - 19
1210745,2024-11-23T16:00:00-06:00,Santos DE Guapiles,Sporting San Jose,2,1,FT,Apertura - 21
1210748,2024-11-23T19:00:00-06:00,San Carlos,Deportivo Saprissa,0,0,FT,Apertura - 21
1210743,2024-11-23T20:00:00-06:00,LD Alajuelense,Puntarenas FC,4,0,FT,Apertura - 21
1210744,2024-11-24T11:00:00-06:00,CS Cartagines,Perez Zeledon,2,0,FT,Apertura - 21
1210747,2024-11-24T16:00:00-06:00,Municipal Liberia,CS Herediano,1,1,FT,Apertura - 21
1210746,2024-11-25T20:00:00-06:00,Santa Ana,AD Guanacasteca,2,1,FT,Apertura - 21
1210691,2024-11-28T20:00:00-06:00,Municipal Liberia,Deportivo Saprissa,0,1,FT,Apertura - 12
1210749,2024-11-30T17:00:00-06:00,AD Guanacasteca,LD Alajuelense,1,0,FT,Apertura - 22
1210754,2024-11-30T20:00:00-06:00,Perez Zeledon,Municipal Liberia,0,1,FT,Apertura - 22
